AlterSchätzung,DeutscherN,Heimisch
25,Scheinakazie,Andere
25,Scheinakazie,Andere
55,Platane,Heimisch
45,Platane,Heimisch
15,Gemeine Esche,Heimisch
25,Gemeine Esche,Heimisch
50,Winterlinde,Heimisch
10,Gemeine Esche,Heimisch
80,Gemeine Esche,Heimisch
25,Gemeine Esche,Heimisch
75,Bergahorn,Heimisch
85,Gemeine Esche,Heimisch
25,Bergahorn,Heimisch
30,Gemeine Esche,Heimisch
15,Gemeine Esche,Heimisch
30,Gemeine Esche,Heimisch
25,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
30,Ahorn,Heimisch
30,Ahorn,Heimisch
35,Ahorn,Heimisch
40,Ahorn,Heimisch
120,Birke,Heimisch
50,Birke,Heimisch
130,Birke,Heimisch
110,Birke,Heimisch
40,Birke,Heimisch
70,Kirsche,Heimisch
65,"Urweltmammutbaum, Chinesisches Rotholz",Andere
60,"Urweltmammutbaum, Chinesisches Rotholz",Andere
65,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
65,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
100,"Urweltmammutbaum, Chinesisches Rotholz",Andere
75,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
105,"Urweltmammutbaum, Chinesisches Rotholz",Andere
120,"Urweltmammutbaum, Chinesisches Rotholz",Andere
60,"Urweltmammutbaum, Chinesisches Rotholz",Andere
95,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
110,"Urweltmammutbaum, Chinesisches Rotholz",Andere
15,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
15,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
120,"Urweltmammutbaum, Chinesisches Rotholz",Andere
15,"Urweltmammutbaum, Chinesisches Rotholz",Andere
120,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
55,"Urweltmammutbaum, Chinesisches Rotholz",Andere
85,"Urweltmammutbaum, Chinesisches Rotholz",Andere
35,"Urweltmammutbaum, Chinesisches Rotholz",Andere
90,"Urweltmammutbaum, Chinesisches Rotholz",Andere
35,Kastanie,Heimisch
95,Kastanie,Heimisch
95,Kastanie,Heimisch
45,Kastanie,Heimisch
45,Kastanie,Heimisch
45,Ahorn,Heimisch
50,Ahorn,Heimisch
55,Birke,Heimisch
35,Birke,Heimisch
30,Ahorn,Heimisch
35,Esche,Heimisch
30,Ahorn,Heimisch
50,Birke,Heimisch
50,Birke,Heimisch
25,Birke,Heimisch
60,Birke,Heimisch
40,"Eberesche, Mehlbeere, Vogelbeerbaum",Heimisch
25,Birke,Heimisch
30,Scheinakazie,Andere
10,Winterlinde,Heimisch
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
30,Scheinakazie,Andere
20,Scheinakazie,Andere
30,Scheinakazie,Andere
5,Scheinakazie,Andere
30,Scheinakazie,Andere
10,Silberlinde,Andere
110,"Hainbuche, Weißbuche",Heimisch
50,Silberlinde,Andere
30,Kugelahorn,Heimisch
35,Winterlinde,Heimisch
20,Mehlbeere,Heimisch
25,Mehlbeere,Heimisch
60,Mehlbeere,Heimisch
40,"Crataegus, Dorn",Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
15,Birne,Heimisch
10,Birne,Heimisch
10,Birne,Heimisch
60,Mehlbeere,Heimisch
60,Mehlbeere,Heimisch
10,Mehlbeere,Heimisch
40,Mehlbeere,Heimisch
70,Mehlbeere,Heimisch
70,Mehlbeere,Heimisch
15,Mehlbeere,Heimisch
40,"Sommer-Eiche, Stieleiche",Heimisch
30,"Sommer-Eiche, Stieleiche",Heimisch
25,Mehlbeere,Heimisch
25,Mehlbeere,Heimisch
25,Linde,Heimisch
20,Linde,Heimisch
50,Hasel,Heimisch
40,Hasel,Heimisch
15,Hasel,Heimisch
65,Eiche,Heimisch
40,Hasel,Heimisch
55,Eiche,Heimisch
50,Eiche,Heimisch
55,Eiche,Heimisch
40,Eiche,Heimisch
65,Eiche,Heimisch
20,Eiche,Heimisch
50,Eiche,Heimisch
55,Eiche,Heimisch
65,Ahorn,Heimisch
55,Eiche,Heimisch
65,Eiche,Heimisch
75,Eiche,Heimisch
